year,fips,state_fips,county_fips,county_name,state_name,state_abbr,metro_nonmetro,uninsured_x,population_18under,dataset_x,uninsured_y,population_18to64,dataset_y
2008,1001,1,1,Autauga County,Alabama,AL,Metropolitan,1035,13774,18_and_under,4933,31300,18_to_64
2009,1001,1,1,Autauga County,Alabama,AL,Metropolitan,860,14722,18_and_under,5492,30571,18_to_64
2011,1001,1,1,Autauga County,Alabama,AL,Metropolitan,712,15037,18_and_under,6065,33764,18_to_64
2014,1001,1,1,Autauga County,Alabama,AL,Metropolitan,504,14525,18_and_under,4780,33627,18_to_64
2013,1001,1,1,Autauga County,Alabama,AL,Metropolitan,573,14638,18_and_under,5845,33539,18_to_64
2012,1001,1,1,Autauga County,Alabama,AL,Metropolitan,559,15066,18_and_under,5656,33559,18_to_64
2015,1001,1,1,Autauga County,Alabama,AL,Metropolitan,371,14295,18_and_under,4102,33642,18_to_64
2010,1001,1,1,Autauga County,Alabama,AL,Metropolitan,811,15213,18_and_under,5771,33150,18_to_64
2013,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,2594,45414,18_and_under,25226,114630,18_to_64
2009,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,3356,43254,18_and_under,21385,105979,18_to_64
2015,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,1523,46526,18_and_under,17437,118459,18_to_64
2008,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,3793,42546,18_and_under,20234,103543,18_to_64
2012,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,2388,44579,18_and_under,22278,111922,18_to_64
2014,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,2254,45897,18_and_under,23889,116765,18_to_64
2010,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,3950,43447,18_and_under,25021,108518,18_to_64
2011,1003,1,3,Baldwin County,Alabama,AL,Metropolitan,2455,43906,18_and_under,23050,110159,18_to_64
2008,1005,1,5,Barbour County,Alabama,AL,Nonmetropolitan,559,6757,18_and_under,3444,15946,18_to_64
